project_name,version,license,pypi_url,github_url,snyk_url,type
asgiref,v3.6.0,License: BSD-3-Clause,https://www.pypi.org/project/asgiref,https://github.com/django/asgiref,https://snyk.io/advisor/python/asgiref,key-ecosystem-project
astor,v0.8.1,License: BSD-3-Clause,https://www.pypi.org/project/astor,https://github.com/berkerpeksag/astor,https://snyk.io/advisor/python/astor,key-ecosystem-project
attrs,v23.1.0,License: MIT,https://www.pypi.org/project/attrs,https://github.com/python-attrs/attrs,https://snyk.io/advisor/python/attrs,key-ecosystem-project
Authlib,v1.2.0,License: BSD-3-Clause,https://www.pypi.org/project/Authlib,https://github.com/lepture/authlib,https://snyk.io/advisor/python/authlib,key-ecosystem-project
avro,v1.11.1,License: Apache-2.0,https://www.pypi.org/project/avro,https://github.com/apache/avro,https://snyk.io/advisor/python/avro,key-ecosystem-project
avro-python3,v1.10.2,License: Apache-2.0,https://www.pypi.org/project/avro-python3,https://github.com/apache/avro,https://snyk.io/advisor/python/avro-python3,key-ecosystem-project
awscli,v1.27.118,License: Apache-2.0,https://www.pypi.org/project/awscli,https://github.com/aws/aws-cli,https://snyk.io/advisor/python/awscli,key-ecosystem-project
aws-sam-translator,v1.65.0,License: Apache-2.0,https://www.pypi.org/project/aws-sam-translator,https://github.com/aws/serverless-application-model,https://snyk.io/advisor/python/aws-sam-translator,key-ecosystem-project
awswrangler,v3.0.0,License: Apache-2.0,https://www.pypi.org/project/awswrangler,https://github.com/aws/aws-sdk-pandas,https://snyk.io/advisor/python/awswrangler,key-ecosystem-project
azure-cli-core,v2.47.0,License: MIT,https://www.pypi.org/project/azure-cli-core,https://github.com/Azure/azure-cli,https://snyk.io/advisor/python/azure-cli-core,key-ecosystem-project
azure-common,v1.1.28,License: MIT,https://www.pypi.org/project/azure-common,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-common,key-ecosystem-project
azure-core,v1.26.4,License: MIT,https://www.pypi.org/project/azure-core,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-core,key-ecosystem-project
azure-cosmos,v4.3.1,License: MIT,https://www.pypi.org/project/azure-cosmos,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-cosmos,key-ecosystem-project
azure-data-tables,v12.4.2,License: MIT,https://www.pypi.org/project/azure-data-tables,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-data-tables,key-ecosystem-project
azure-eventhub,v5.11.2,License: MIT,https://www.pypi.org/project/azure-eventhub,https://github.com/Azure/azure-sdk-for-python,https://snyk.io/advisor/python/azure-eventhub,key-ecosystem-project
